region;civil;age;gender;pop
;;;kvinnor;62
;;35-39 år;män;77
;;;kvinnor;56
;;40-44 år;män;68
;;;kvinnor;42
;;45-49 år;män;84
;;;kvinnor;56
;;50-54 år;män;67
;;;kvinnor;52
;;55-59 år;män;68
;;;kvinnor;44
;;60-64 år;män;59
;;;kvinnor;37
;gifta;20-24 år;män;8
;;;kvinnor;15
;;25-29 år;män;22
;;;kvinnor;41
;;30-34 år;män;57
;;;kvinnor;74
;;35-39 år;män;63
;;;kvinnor;77
;;40-44 år;män;100
;;;kvinnor;84
;;45-49 år;män;84
;;;kvinnor;80
;;50-54 år;män;105
;;;kvinnor;112
;;55-59 år;män;105
;;;kvinnor;126
;;60-64 år;män;143
;;;kvinnor;129
;skilda;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;1
;;;kvinnor;6
;;30-34 år;män;5
;;;kvinnor;10
;;35-39 år;män;11
;;;kvinnor;21
;;40-44 år;män;13
;;;kvinnor;16
;;45-49 år;män;19
;;;kvinnor;24
;;50-54 år;män;32
;;;kvinnor;32
;;55-59 år;män;25
;;;kvinnor;32
;;60-64 år;män;36
;;;kvinnor;35
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;1
;;40-44 år;män;0
;;;kvinnor;4
;;45-49 år;män;2
;;;kvinnor;5
;;50-54 år;män;1
;;;kvinnor;7
;;55-59 år;män;1
;;;kvinnor;8
;;60-64 år;män;5
;;;kvinnor;24
0834 Torsås;ogifta;20-24 år;män;172
;;;kvinnor;119
;;25-29 år;män;180
;;;kvinnor;110
;;30-34 år;män;123
;;;kvinnor;95
;;35-39 år;män;111
;;;kvinnor;80
;;40-44 år;män;102
;;;kvinnor;63
;;45-49 år;män;93
;;;kvinnor;56
;;50-54 år;män;104
;;;kvinnor;87
;;55-59 år;män;76
;;;kvinnor;43
;;60-64 år;män;76
;;;kvinnor;48
;gifta;20-24 år;män;5
;;;kvinnor;7
;;25-29 år;män;16
;;;kvinnor;35
;;30-34 år;män;36
;;;kvinnor;50
;;35-39 år;män;54
;;;kvinnor;71
;;40-44 år;män;92
;;;kvinnor;90
;;45-49 år;män;111
;;;kvinnor;113
;;50-54 år;män;120
;;;kvinnor;142
;;55-59 år;män;117
;;;kvinnor;119
;;60-64 år;män;137
;;;kvinnor;139
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;1
;;;kvinnor;8
;;30-34 år;män;6
;;;kvinnor;4
;;35-39 år;män;9
;;;kvinnor;11
;;40-44 år;män;13
;;;kvinnor;13
;;45-49 år;män;22
;;;kvinnor;42
;;50-54 år;män;41
;;;kvinnor;45
;;55-59 år;män;44
;;;kvinnor;41
;;60-64 år;män;53
;;;kvinnor;53
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;0
;;;kvinnor;1
;;40-44 år;män;1
;;;kvinnor;1
;;45-49 år;män;0
;;;kvinnor;1
;;50-54 år;män;0
;;;kvinnor;5
;;55-59 år;män;1
;;;kvinnor;6
;;60-64 år;män;5
;;;kvinnor;11
0840 Mörbylånga;ogifta;20-24 år;män;295
;;;kvinnor;257
;;25-29 år;män;259
;;;kvinnor;272
;;30-34 år;män;237
;;;kvinnor;195
;;35-39 år;män;229
;;;kvinnor;201
;;40-44 år;män;183
;;;kvinnor;132
;;45-49 år;män;144
;;;kvinnor;123
;;50-54 år;män;150
;;;kvinnor;122
;;55-59 år;män;112
;;;kvinnor;101
;;60-64 år;män;115
;;;kvinnor;73
;gifta;20-24 år;män;9
;;;kvinnor;25
;;25-29 år;män;45
;;;kvinnor;57
;;30-34 år;män;89
;;;kvinnor;149
;;35-39 år;män;206
;;;kvinnor;219
;;40-44 år;män;244
;;;kvinnor;270
;;45-49 år;män;261
;;;kvinnor;271
;;50-54 år;män;265
;;;kvinnor;277
;;55-59 år;män;251
;;;kvinnor;276
;;60-64 år;män;329
;;;kvinnor;343
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;0
;;;kvinnor;4
;;30-34 år;män;10
;;;kvinnor;11
;;35-39 år;män;18
;;;kvinnor;31
;;40-44 år;män;27
;;;kvinnor;29
;;45-49 år;män;58
;;;kvinnor;83
;;50-54 år;män;63
;;;kvinnor;66
;;55-59 år;män;64
;;;kvinnor;69
;;60-64 år;män;76
;;;kvinnor;85
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;2
;;40-44 år;män;0
;;;kvinnor;3
;;45-49 år;män;0
;;;kvinnor;3
;;50-54 år;män;2
;;;kvinnor;11
;;55-59 år;män;6
;;;kvinnor;10
;;60-64 år;män;10
;;;kvinnor;17
0860 Hultsfred;ogifta;20-24 år;män;418
;;;kvinnor;292
;;25-29 år;män;410
;;;kvinnor;290
;;30-34 år;män;255
;;;kvinnor;162
;;35-39 år;män;193
;;;kvinnor;113
;;40-44 år;män;166
;;;kvinnor;106
;;45-49 år;män;162
;;;kvinnor;122
;;50-54 år;män;200
;;;kvinnor;116
;;55-59 år;män;160
;;;kvinnor;117
;;60-64 år;män;148
;;;kvinnor;61
;gifta;20-24 år;män;14
;;;kvinnor;41
;;25-29 år;män;58
;;;kvinnor;103
;;30-34 år;män;105
;;;kvinnor;159
;;35-39 år;män;178
;;;kvinnor;187
;;40-44 år;män;194
;;;kvinnor;158
;;45-49 år;män;218
;;;kvinnor;239
;;50-54 år;män;260
;;;kvinnor;278
;;55-59 år;män;283
;;;kvinnor;275
;;60-64 år;män;270
;;;kvinnor;294
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;4
;;;kvinnor;9
;;30-34 år;män;16
;;;kvinnor;25
;;35-39 år;män;16
;;;kvinnor;27
;;40-44 år;män;27
;;;kvinnor;41
;;45-49 år;män;38
;;;kvinnor;59
;;50-54 år;män;83
;;;kvinnor;83
;;55-59 år;män;76
;;;kvinnor;84
;;60-64 år;män;85
;;;kvinnor;79
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;2
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;3
;;40-44 år;män;0
;;;kvinnor;3
;;45-49 år;män;0
;;;kvinnor;4
;;50-54 år;män;3
;;;kvinnor;12
;;55-59 år;män;7
;;;kvinnor;16
;;60-64 år;män;4
;;;kvinnor;23
0861 Mönsterås;ogifta;20-24 år;män;365
;;;kvinnor;269
;;25-29 år;män;369
;;;kvinnor;265
;;30-34 år;män;243
;;;kvinnor;172
;;35-39 år;män;180
;;;kvinnor;108
;;40-44 år;män;156
;;;kvinnor;121
;;45-49 år;män;145
;;;kvinnor;119
;;50-54 år;män;149
;;;kvinnor;127
;;55-59 år;män;143
;;;kvinnor;93
;;60-64 år;män;121
;;;kvinnor;85
;gifta;20-24 år;män;9
;;;kvinnor;23
;;25-29 år;män;57
;;;kvinnor;107
;;30-34 år;män;121
;;;kvinnor;146
;;35-39 år;män;153
;;;kvinnor;155
;;40-44 år;män;198
;;;kvinnor;185
;;45-49 år;män;216
;;;kvinnor;244
;;50-54 år;män;261
;;;kvinnor;238
;;55-59 år;män;229
;;;kvinnor;228
;;60-64 år;män;247
;;;kvinnor;285
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;3
;;;kvinnor;8
;;30-34 år;män;15
;;;kvinnor;13
;;35-39 år;män;15
;;;kvinnor;23
;;40-44 år;män;39
;;;kvinnor;62
;;45-49 år;män;43
;;;kvinnor;50
;;50-54 år;män;74
;;;kvinnor;77
;;55-59 år;män;87
;;;kvinnor;66
;;60-64 år;män;75
;;;kvinnor;69
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;0
;;;kvinnor;1
;;40-44 år;män;1
;;;kvinnor;2
;;45-49 år;män;0
;;;kvinnor;1
;;50-54 år;män;2
;;;kvinnor;10
;;55-59 år;män;4
;;;kvinnor;15
;;60-64 år;män;6
;;;kvinnor;18
0862 Emmaboda;ogifta;20-24 år;män;246
;;;kvinnor;207
;;25-29 år;män;232
;;;kvinnor;159
;;30-34 år;män;186
;;;kvinnor;100
;;35-39 år;män;114
;;;kvinnor;108
;;40-44 år;män;140
;;;kvinnor;98
;;45-49 år;män;117
;;;kvinnor;107
;;50-54 år;män;137
;;;kvinnor;85
;;55-59 år;män;126
;;;kvinnor;81
;;60-64 år;män;105
;;;kvinnor;52
;gifta;20-24 år;män;3
;;;kvinnor;9
;;25-29 år;män;34
;;;kvinnor;49
;;30-34 år;män;66
;;;kvinnor;92
;;35-39 år;män;89
;;;kvinnor;98
;;40-44 år;män;114
;;;kvinnor;98
;;45-49 år;män;130
;;;kvinnor;162
;;50-54 år;män;168
;;;kvinnor;166
;;55-59 år;män;152
;;;kvinnor;169
;;60-64 år;män;178
;;;kvinnor;181
;skilda;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;2
;;;kvinnor;10
;;30-34 år;män;13
;;;kvinnor;9
;;35-39 år;män;11
;;;kvinnor;23
;;40-44 år;män;26
;;;kvinnor;28
;;45-49 år;män;24
;;;kvinnor;36
;;50-54 år;män;46
;;;kvinnor;53
;;55-59 år;män;50
;;;kvinnor;47
;;60-64 år;män;60
;;;kvinnor;45
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;1
;;;kvinnor;2
;;40-44 år;män;0
;;;kvinnor;3
;;45-49 år;män;0
;;;kvinnor;6
;;50-54 år;män;0
;;;kvinnor;5
;;55-59 år;män;4
;;;kvinnor;8
;;60-64 år;män;4
;;;kvinnor;21
0880 Kalmar;ogifta;20-24 år;män;2351
;;;kvinnor;2503
;;25-29 år;män;2603
;;;kvinnor;2149
;;30-34 år;män;1563
;;;kvinnor;1236
;;35-39 år;män;1091
;;;kvinnor;803
;;40-44 år;män;896
;;;kvinnor;656
;;45-49 år;män;783
;;;kvinnor;649
;;50-54 år;män;738
;;;kvinnor;593
;;55-59 år;män;514
;;;kvinnor;436
;;60-64 år;män;418
;;;kvinnor;334
;gifta;20-24 år;män;34
;;;kvinnor;102
;;25-29 år;män;253
;;;kvinnor;435
;;30-34 år;män;607
;;;kvinnor;771
;;35-39 år;män;858
;;;kvinnor;905
;;40-44 år;män;1079
;;;kvinnor;1106
;;45-49 år;män;1028
;;;kvinnor;1085
;;50-54 år;män;1175
;;;kvinnor;1092
;;55-59 år;män;935
;;;kvinnor;960
;;60-64 år;män;1055
;;;kvinnor;1072
;skilda;20-24 år;män;2
;;;kvinnor;6
;;25-29 år;män;17
;;;kvinnor;37
;;30-34 år;män;53
;;;kvinnor;89
;;35-39 år;män;107
;;;kvinnor;154
;;40-44 år;män;158
;;;kvinnor;245
;;45-49 år;män;278
;;;kvinnor;336
;;50-54 år;män;360
;;;kvinnor;454
;;55-59 år;män;313
;;;kvinnor;440
;;60-64 år;män;327
;;;kvinnor;438
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;1
;;;kvinnor;5
;;35-39 år;män;2
;;;kvinnor;4
;;40-44 år;män;0
;;;kvinnor;13
;;45-49 år;män;7
;;;kvinnor;22
;;50-54 år;män;7
;;;kvinnor;41
;;55-59 år;män;20
;;;kvinnor;62
;;60-64 år;män;41
;;;kvinnor;98
0881 Nybro;ogifta;20-24 år;män;584
;;;kvinnor;449
;;25-29 år;män;575
;;;kvinnor;433
;;30-34 år;män;393
;;;kvinnor;290
;;35-39 år;män;252
;;;kvinnor;187
;;40-44 år;män;257
;;;kvinnor;171
;;45-49 år;män;243
;;;kvinnor;202
;;50-54 år;män;295
;;;kvinnor;203
;;55-59 år;män;213
;;;kvinnor;138
;;60-64 år;män;170
;;;kvinnor;95
;gifta;20-24 år;män;13
;;;kvinnor;54
;;25-29 år;män;99
;;;kvinnor;156
;;30-34 år;män;190
;;;kvinnor;259
;;35-39 år;män;239
;;;kvinnor;221
;;40-44 år;män;257
;;;kvinnor;277
;;45-49 år;män;316
;;;kvinnor;314
;;50-54 år;män;370
;;;kvinnor;379
;;55-59 år;män;344
;;;kvinnor;371
;;60-64 år;män;361
;;;kvinnor;308
;skilda;20-24 år;män;1
;;;kvinnor;4
;;25-29 år;män;7
;;;kvinnor;6
;;30-34 år;män;26
;;;kvinnor;32
;;35-39 år;män;31
;;;kvinnor;44
;;40-44 år;män;51
;;;kvinnor;63
;;45-49 år;män;70
;;;kvinnor;88
;;50-54 år;män;96
;;;kvinnor;117
;;55-59 år;män;97
;;;kvinnor;116
;;60-64 år;män;105
;;;kvinnor;134
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;2
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;1
;;;kvinnor;0
;;40-44 år;män;0
;;;kvinnor;6
;;45-49 år;män;2
;;;kvinnor;7
;;50-54 år;män;2
;;;kvinnor;8
;;55-59 år;män;6
;;;kvinnor;23
;;60-64 år;män;16
;;;kvinnor;36
0882 Oskarshamn;ogifta;20-24 år;män;843
;;;kvinnor;629
;;25-29 år;män;828
;;;kvinnor;586
;;30-34 år;män;530
;;;kvinnor;349
;;35-39 år;män;390
;;;kvinnor;285
;;40-44 år;män;322
;;;kvinnor;255
;;45-49 år;män;350
;;;kvinnor;254
;;50-54 år;män;321
;;;kvinnor;224
;;55-59 år;män;252
;;;kvinnor;170
;;60-64 år;män;209
;;;kvinnor;156
;gifta;20-24 år;män;23
;;;kvinnor;48
;;25-29 år;män;91
;;;kvinnor;178
;;30-34 år;män;232
;;;kvinnor;273
;;35-39 år;män;296
;;;kvinnor;346
;;40-44 år;män;422
;;;kvinnor;444
;;45-49 år;män;460
;;;kvinnor;472
;;50-54 år;män;506
;;;kvinnor;502
;;55-59 år;män;448
;;;kvinnor;424
;;60-64 år;män;429
;;;kvinnor;488
;skilda;20-24 år;män;0
;;;kvinnor;3
;;25-29 år;män;13
;;;kvinnor;13
;;30-34 år;män;22
;;;kvinnor;37
;;35-39 år;män;41
;;;kvinnor;72
;;40-44 år;män;69
;;;kvinnor;99
;;45-49 år;män;120
;;;kvinnor;140
;;50-54 år;män;121
;;;kvinnor;146
;;55-59 år;män;104
;;;kvinnor;124
;;60-64 år;män;117
;;;kvinnor;135
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;1
;;;kvinnor;3
;;30-34 år;män;0
;;;kvinnor;2
;;35-39 år;män;0
;;;kvinnor;2
;;40-44 år;män;0
;;;kvinnor;6
;;45-49 år;män;3
;;;kvinnor;8
;;50-54 år;män;7
;;;kvinnor;12
;;55-59 år;män;8
;;;kvinnor;28
;;60-64 år;män;13
;;;kvinnor;48
0883 Västervik;ogifta;20-24 år;män;941
;;;kvinnor;794
;;25-29 år;män;964
;;;kvinnor;742
;;30-34 år;män;635
;;;kvinnor;491
;;35-39 år;män;473
;;;kvinnor;346
;;40-44 år;män;430
;;;kvinnor;321
;;45-49 år;män;431
;;;kvinnor;351
;;50-54 år;män;524
;;;kvinnor;349
;;55-59 år;män;406
;;;kvinnor;298
;;60-64 år;män;329
;;;kvinnor;254
;gifta;20-24 år;män;26
;;;kvinnor;47
;;25-29 år;män;101
;;;kvinnor;195
;;30-34 år;män;211
;;;kvinnor;313
;;35-39 år;män;356
;;;kvinnor;390
;;40-44 år;män;489
;;;kvinnor;527
;;45-49 år;män;545
;;;kvinnor;584
;;50-54 år;män;615
;;;kvinnor;608
;;55-59 år;män;571
;;;kvinnor;663
;;60-64 år;män;723
;;;kvinnor;726
;skilda;20-24 år;män;1
;;;kvinnor;2
;;25-29 år;män;5
;;;kvinnor;16
;;30-34 år;män;30
;;;kvinnor;45
;;35-39 år;män;40
;;;kvinnor;79
;;40-44 år;män;81
;;;kvinnor;118
;;45-49 år;män;127
;;;kvinnor;172
;;50-54 år;män;192
;;;kvinnor;204
;;55-59 år;män;192
;;;kvinnor;205
;;60-64 år;män;212
;;;kvinnor;268
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;2
;;40-44 år;män;1
;;;kvinnor;1
;;45-49 år;män;2
;;;kvinnor;6
;;50-54 år;män;8
;;;kvinnor;17
;;55-59 år;män;7
;;;kvinnor;35
;;60-64 år;män;18
;;;kvinnor;54
0884 Vimmerby;ogifta;20-24 år;män;500
;;;kvinnor;357
;;25-29 år;män;468
;;;kvinnor;343
;;30-34 år;män;324
;;;kvinnor;212
;;35-39 år;män;224
;;;kvinnor;143
;;40-44 år;män;176
;;;kvinnor;162
;;45-49 år;män;212
;;;kvinnor;160
;;50-54 år;män;225
;;;kvinnor;165
;;55-59 år;män;185
;;;kvinnor;106
;;60-64 år;män;134
;;;kvinnor;95
;gifta;20-24 år;män;3
;;;kvinnor;27
;;25-29 år;män;79
;;;kvinnor;112
;;30-34 år;män;120
;;;kvinnor;140
;;35-39 år;män;187
;;;kvinnor;204
;;40-44 år;män;198
;;;kvinnor;232
;;45-49 år;män;262
;;;kvinnor;255
;;50-54 år;män;269
;;;kvinnor;267
;;55-59 år;män;267
;;;kvinnor;288
;;60-64 år;män;268
;;;kvinnor;286
;skilda;20-24 år;män;0
;;;kvinnor;4
;;25-29 år;män;4
;;;kvinnor;3
;;30-34 år;män;5
;;;kvinnor;18
;;35-39 år;män;16
;;;kvinnor;28
;;40-44 år;män;25
;;;kvinnor;39
;;45-49 år;män;58
;;;kvinnor;59
;;50-54 år;män;58
;;;kvinnor;78
;;55-59 år;män;86
;;;kvinnor;83
;;60-64 år;män;68
;;;kvinnor;82
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;3
;;35-39 år;män;1
;;;kvinnor;0
;;40-44 år;män;0
;;;kvinnor;4
;;45-49 år;män;0
;;;kvinnor;6
;;50-54 år;män;3
;;;kvinnor;4
;;55-59 år;män;6
;;;kvinnor;19
;;60-64 år;män;9
;;;kvinnor;25
0885 Borgholm;ogifta;20-24 år;män;244
;;;kvinnor;176
;;25-29 år;män;249
;;;kvinnor;161
;;30-34 år;män;176
;;;kvinnor;140
;;35-39 år;män;111
;;;kvinnor;93
;;40-44 år;män;134
;;;kvinnor;87
;;45-49 år;män;119
;;;kvinnor;93
;;50-54 år;män;117
;;;kvinnor;106
;;55-59 år;män;138
;;;kvinnor;75
;;60-64 år;män;102
;;;kvinnor;78
;gifta;20-24 år;män;4
;;;kvinnor;6
;;25-29 år;män;21
;;;kvinnor;50
;;30-34 år;män;55
;;;kvinnor;78
;;35-39 år;män;100
;;;kvinnor;101
;;40-44 år;män;116
;;;kvinnor;118
;;45-49 år;män;139
;;;kvinnor;150
;;50-54 år;män;166
;;;kvinnor;183
;;55-59 år;män;180
;;;kvinnor;221
;;60-64 år;män;231
;;;kvinnor;251
;skilda;20-24 år;män;1
;;;kvinnor;0
;;25-29 år;män;1
;;;kvinnor;1
;;30-34 år;män;4
;;;kvinnor;8
;;35-39 år;män;12
;;;kvinnor;27
;;40-44 år;män;24
;;;kvinnor;27
;;45-49 år;män;36
;;;kvinnor;39
;;50-54 år;män;52
;;;kvinnor;69
;;55-59 år;män;68
;;;kvinnor;77
;;60-64 år;män;82
;;;kvinnor;76
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;1
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;0
;;40-44 år;män;0
;;;kvinnor;1
;;45-49 år;män;1
;;;kvinnor;5
;;50-54 år;män;0
;;;kvinnor;6
;;55-59 år;män;3
;;;kvinnor;16
;;60-64 år;män;7
;;;kvinnor;26
0980 Gotland;ogifta;20-24 år;män;1818
;;;kvinnor;1519
;;25-29 år;män;1724
;;;kvinnor;1446
;;30-34 år;män;1079
;;;kvinnor;941
;;35-39 år;män;891
;;;kvinnor;749
;;40-44 år;män;841
;;;kvinnor;676
;;45-49 år;män;748
;;;kvinnor;690
;;50-54 år;män;763
;;;kvinnor;693
;;55-59 år;män;659
;;;kvinnor;552
;;60-64 år;män;596
;;;kvinnor;452
;gifta;20-24 år;män;12
;;;kvinnor;32
;;25-29 år;män;111
;;;kvinnor;180
;;30-34 år;män;336
;;;kvinnor;438
;;35-39 år;män;497
;;;kvinnor;631
;;40-44 år;män;728
;;;kvinnor;760
;;45-49 år;män;819
;;;kvinnor;873
;;50-54 år;män;970
;;;kvinnor;1013
;;55-59 år;män;868
;;;kvinnor;982
;;60-64 år;män;1054
;;;kvinnor;1107
;skilda;20-24 år;män;0
;;;kvinnor;5
;;25-29 år;män;13
;;;kvinnor;28
;;30-34 år;män;36
;;;kvinnor;58
;;35-39 år;män;71
;;;kvinnor;105
;;40-44 år;män;144
;;;kvinnor;183
;;45-49 år;män;228
;;;kvinnor;274
;;50-54 år;män;314
;;;kvinnor;441
;;55-59 år;män;334
;;;kvinnor;418
;;60-64 år;män;367
;;;kvinnor;424
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;2
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;0
;;;kvinnor;3
;;40-44 år;män;2
;;;kvinnor;2
;;45-49 år;män;5
;;;kvinnor;18
;;50-54 år;män;14
;;;kvinnor;26
;;55-59 år;män;16
;;;kvinnor;46
;;60-64 år;män;28
;;;kvinnor;96
1060 Olofström;ogifta;20-24 år;män;396
;;;kvinnor;308
;;25-29 år;män;408
;;;kvinnor;269
;;30-34 år;män;209
;;;kvinnor;144
;;35-39 år;män;153
;;;kvinnor;117
;;40-44 år;män;147
;;;kvinnor;108
;;45-49 år;män;192
;;;kvinnor;127
;;50-54 år;män;169
;;;kvinnor;149
;;55-59 år;män;150
;;;kvinnor;79
;;60-64 år;män;125
;;;kvinnor;47
;gifta;20-24 år;män;15
;;;kvinnor;31
;;25-29 år;män;46
;;;kvinnor;86
;;30-34 år;män;119
;;;kvinnor;165
;;35-39 år;män;145
;;;kvinnor;139
;;40-44 år;män;169
;;;kvinnor;190
;;45-49 år;män;190
;;;kvinnor;212
;;50-54 år;män;274
;;;kvinnor;268
;;55-59 år;män;245
;;;kvinnor;220
;;60-64 år;män;230
;;;kvinnor;231
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;7
;;;kvinnor;13
;;30-34 år;män;7
;;;kvinnor;22
;;35-39 år;män;19
;;;kvinnor;34
;;40-44 år;män;33
;;;kvinnor;41
;;45-49 år;män;54
;;;kvinnor;90
;;50-54 år;män;86
;;;kvinnor;95
;;55-59 år;män;96
;;;kvinnor;69
;;60-64 år;män;71
;;;kvinnor;86
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;0
;;;kvinnor;5
;;40-44 år;män;0
;;;kvinnor;4
;;45-49 år;män;1
;;;kvinnor;7
;;50-54 år;män;3
;;;kvinnor;12
;;55-59 år;män;4
;;;kvinnor;15
;;60-64 år;män;9
;;;kvinnor;17
1080 Karlskrona;ogifta;20-24 år;män;2667
;;;kvinnor;1713
;;25-29 år;män;2319
;;;kvinnor;1607
;;30-34 år;män;1522
;;;kvinnor;956
;;35-39 år;män;998
;;;kvinnor;682
;;40-44 år;män;848
;;;kvinnor;626
;;45-49 år;män;734
;;;kvinnor;519
;;50-54 år;män;700
;;;kvinnor;487
;;55-59 år;män;546
;;;kvinnor;370
;;60-64 år;män;412
;;;kvinnor;293
;gifta;20-24 år;män;37
;;;kvinnor;95
;;25-29 år;män;203
;;;kvinnor;373
;;30-34 år;män;582
;;;kvinnor;744
;;35-39 år;män;904
;;;kvinnor;1041
;;40-44 år;män;1133
;;;kvinnor;1189
;;45-49 år;män;1215
;;;kvinnor;1137
;;50-54 år;män;1128
;;;kvinnor;1102
;;55-59 år;män;998
;;;kvinnor;964
;;60-64 år;män;1073
;;;kvinnor;1099
;skilda;20-24 år;män;1
;;;kvinnor;7
;;25-29 år;män;28
;;;kvinnor;50
;;30-34 år;män;65
;;;kvinnor;101
;;35-39 år;män;115
;;;kvinnor;168
;;40-44 år;män;177
;;;kvinnor;250
;;45-49 år;män;281
;;;kvinnor;342
;;50-54 år;män;340
;;;kvinnor;407
;;55-59 år;män;339
;;;kvinnor;395
;;60-64 år;män;313
;;;kvinnor;362
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;3
;;35-39 år;män;4
;;;kvinnor;4
;;40-44 år;män;4
;;;kvinnor;13
;;45-49 år;män;5
;;;kvinnor;19
;;50-54 år;män;5
;;;kvinnor;21
;;55-59 år;män;13
;;;kvinnor;47
;;60-64 år;män;28
;;;kvinnor;97
1081 Ronneby;ogifta;20-24 år;män;803
;;;kvinnor;599
;;25-29 år;män;779
;;;kvinnor;539
;;30-34 år;män;590
;;;kvinnor;353
;;35-39 år;män;425
;;;kvinnor;296
;;40-44 år;män;359
;;;kvinnor;275
;;45-49 år;män;340
;;;kvinnor;245
;;50-54 år;män;372
;;;kvinnor;249
;;55-59 år;män;254
;;;kvinnor;166
;;60-64 år;män;213
;;;kvinnor;149
;gifta;20-24 år;män;20
;;;kvinnor;78
;;25-29 år;män;119
;;;kvinnor;194
;;30-34 år;män;277
;;;kvinnor;349
;;35-39 år;män;386
;;;kvinnor;443
;;40-44 år;män;475
;;;kvinnor;450
;;45-49 år;män;519
;;;kvinnor;505
;;50-54 år;män;525
;;;kvinnor;496
;;55-59 år;män;438
;;;kvinnor;447
;;60-64 år;män;485
;;;kvinnor;536
;skilda;20-24 år;män;0
;;;kvinnor;4
;;25-29 år;män;6
;;;kvinnor;15
;;30-34 år;män;29
;;;kvinnor;48
;;35-39 år;män;46
;;;kvinnor;56
;;40-44 år;män;67
;;;kvinnor;92
;;45-49 år;män;111
;;;kvinnor;159
;;50-54 år;män;159
;;;kvinnor;189
;;55-59 år;män;156
;;;kvinnor;162
;;60-64 år;män;146
;;;kvinnor;163
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;4
;;35-39 år;män;0
;;;kvinnor;2
;;40-44 år;män;2
;;;kvinnor;3
;;45-49 år;män;2
;;;kvinnor;6
;;50-54 år;män;3
;;;kvinnor;14
;;55-59 år;män;3
;;;kvinnor;27
;;60-64 år;män;14
;;;kvinnor;55
1082 Karlshamn;ogifta;20-24 år;män;977
;;;kvinnor;782
;;25-29 år;män;914
;;;kvinnor;683
;;30-34 år;män;599
;;;kvinnor;432
;;35-39 år;män;398
;;;kvinnor;296
;;40-44 år;män;383
;;;kvinnor;294
;;45-49 år;män;405
;;;kvinnor;327
;;50-54 år;män;440
;;;kvinnor;315
;;55-59 år;män;303
;;;kvinnor;219
;;60-64 år;män;235
;;;kvinnor;192
;gifta;20-24 år;män;15
;;;kvinnor;49
;;25-29 år;män;111
;;;kvinnor;214
;;30-34 år;män;273
;;;kvinnor;335
;;35-39 år;män;384
;;;kvinnor;426
;;40-44 år;män;464
;;;kvinnor;491
;;45-49 år;män;530
